count				MSE
1				0.192582
2				0.187610
3				0.181630
4				0.174394
5				0.165608
6				0.154963
7				0.142210
8				0.127318
9				0.110716
10				0.093500
11				0.077309
12				0.063707
13				0.053447
14				0.046324
15				0.041622
16				0.038582
17				0.036619
18				0.035336
19				0.034482
20				0.033898
21				0.033489
22				0.033192
23				0.032968
24				0.032793
25				0.032650
26				0.032529
27				0.032423
28				0.032327
29				0.032237
30				0.032153
31				0.032072
32				0.031993
33				0.031916
34				0.031840
35				0.031765
36				0.031690
37				0.031616
38				0.031542
39				0.031469
40				0.031396
41				0.031323
42				0.031250
43				0.031177
44				0.031105
45				0.031033
46				0.030960
47				0.030888
48				0.030816
49				0.030744
50				0.030673
51				0.030601
52				0.030530
53				0.030458
54				0.030387
55				0.030316
56				0.030245
57				0.030174
58				0.030104
59				0.030033
60				0.029962
61				0.029892
62				0.029822
63				0.029752
64				0.029682
65				0.029612
66				0.029542
67				0.029472
68				0.029403
69				0.029334
70				0.029264
71				0.029195
72				0.029126
73				0.029057
74				0.028988
75				0.028920
76				0.028851
77				0.028783
78				0.028714
79				0.028646
80				0.028578
81				0.028510
82				0.028442
83				0.028375
84				0.028307
85				0.028240
86				0.028172
87				0.028105
88				0.028038
89				0.027971
90				0.027904
91				0.027838
92				0.027771
93				0.027705
94				0.027638
95				0.027572
96				0.027506
97				0.027440
98				0.027374
99				0.027308
100				0.027243
101				0.027177
102				0.027112
103				0.027047
104				0.026981
105				0.026916
106				0.026851
107				0.026787
108				0.026722
109				0.026658
110				0.026593
111				0.026529
112				0.026465
113				0.026401
114				0.026337
115				0.026273
116				0.026209
117				0.026146
118				0.026082
119				0.026019
120				0.025956
121				0.025893
122				0.025830
123				0.025767
124				0.025704
125				0.025641
126				0.025579
127				0.025517
128				0.025454
129				0.025392
130				0.025330
131				0.025268
132				0.025207
133				0.025145
134				0.025083
135				0.025022
136				0.024961
137				0.024900
138				0.024839
139				0.024778
140				0.024717
141				0.024656
142				0.024596
143				0.024535
144				0.024475
145				0.024415
146				0.024355
147				0.024295
148				0.024235
149				0.024175
150				0.024115
151				0.024056
152				0.023997
153				0.023937
154				0.023878
155				0.023819
156				0.023760
157				0.023702
158				0.023643
159				0.023584
160				0.023526
161				0.023468
162				0.023409
163				0.023351
164				0.023293
165				0.023236
166				0.023178
167				0.023120
168				0.023063
169				0.023005
170				0.022948
171				0.022891
172				0.022834
173				0.022777
174				0.022720
175				0.022664
176				0.022607
177				0.022551
178				0.022494
179				0.022438
180				0.022382
181				0.022326
182				0.022270
183				0.022215
184				0.022159
185				0.022103
186				0.022048
187				0.021993
188				0.021938
189				0.021883
190				0.021828
191				0.021773
192				0.021718
193				0.021664
194				0.021609
195				0.021555
196				0.021500
197				0.021446
198				0.021392
199				0.021338
200				0.021285
201				0.021231
202				0.021177
203				0.021124
204				0.021071
205				0.021017
206				0.020964
207				0.020911
208				0.020858
209				0.020806
